Date,SPY,TLT,GC=F,CL=F,ZW=F,DX=F
2000-01-03,,,,,,
2000-01-04,0.9608938547486033,,,,,
2000-01-05,0.9626128061882251,,,,,
2000-01-06,0.9471422432316285,,,,,
2000-01-07,1.0021486892995273,,,,,
2000-01-10,1.005586592178771,,,,,
2000-01-11,0.9935539321014182,,,,,
2000-01-12,0.9836699613235927,,,,,
2000-01-13,0.996991834980662,,,,,
2000-01-14,1.010528577567684,,,,,
2000-01-18,1.002578427159433,,,,,
2000-01-19,1.0107434464976366,,,,,
2000-01-20,0.9952728835410402,,,,,
2000-01-21,0.9931241942415128,,,,,
2000-01-24,0.9649763644177053,,,,,
2000-01-25,0.9759346798452945,,,,,
2000-01-26,0.9681993983669962,,,,,
2000-01-27,0.9643317576278471,,,,,
2000-01-28,0.934250107434465,,,,,
2000-01-31,0.959604641168887,,,,,
2000-02-01,0.969058874086807,,,,,
2000-02-02,0.9699183498066181,,,,,
2000-02-03,0.9845294370434037,,,,,
2000-02-04,0.9804469273743018,,,,,
2000-02-07,0.9789428448646328,,,,,
2000-02-08,0.992264718521702,,,,,
2000-02-09,0.9714224323162873,,,,,
2000-02-10,0.9733562526858618,,,,,
2000-02-11,0.9535883111302108,,,,,
2000-02-14,0.9591749033089818,,,,,
2000-02-15,0.9700257842715946,,,,,
2000-02-16,0.9557370004297382,,,,,
2000-02-17,0.9507950150408254,,,,,
2000-02-18,0.9303824666953162,,,,,
2000-02-22,0.9280189084658361,,,,,
2000-02-23,0.9389772238934254,,,,,
2000-02-24,0.9200687580575853,,,,,
2000-02-25,0.916738289643318,,,,,
2000-02-28,0.9359690588740872,,,,,
2000-02-29,0.9449935539321017,,,,,
2000-03-01,0.9518693596905891,,,,,
2000-03-02,0.9525139664804473,,,,,
2000-03-03,0.9703480876665239,,,,,
2000-03-06,0.9608938547486039,,,,,
2000-03-07,0.9423076923076928,,,,,
2000-03-08,0.9411259131929529,,,,,
2000-03-09,0.9686291362269022,,,,,
2000-03-10,0.9634722819080367,,,,,
2000-03-13,0.9529437043403529,,,,,
2000-03-14,0.939406961753331,,,,,
2000-03-15,0.9613235926085094,,,,,
2000-03-16,1.00623119896863,,,,,
2000-03-17,1.0103137086377318,,,,,
2000-03-20,1.0051568543188665,,,,,
2000-03-21,1.0257842715943286,,,,,
2000-03-22,1.0320154705629578,,,,,
2000-03-23,1.0496347228190817,,,,,
2000-03-24,1.0558659217877109,,,,,
2000-03-27,1.0446927374301689,,,,,
2000-03-28,1.0386764073914925,,,,,
2000-03-29,1.039750752041256,,,,,
2000-03-30,1.022346368715085,,,,,
2000-03-31,1.0339492909325325,,,,,
2000-04-03,1.039965620971209,,,,,
2000-04-04,1.0322303394929107,,,,,
2000-04-05,1.0257842715943288,,,,,
2000-04-06,1.034701332187367,,,,,
2000-04-07,1.0412548345509254,,,,,
2000-04-10,1.0371723248818234,,,,,
2000-04-11,1.034164159862485,,,,,
2000-04-12,1.005801461108725,,,,,
2000-04-13,0.9918349806617975,,,,,
2000-04-14,0.9351095831542771,,,,,
2000-04-17,0.9677696605070919,,,,,
2000-04-18,0.9933390631714666,,,,,
2000-04-19,0.9840996991834993,,,,,
2000-04-20,0.9888268156424592,,,,,
2000-04-24,0.9780833691448227,,,,,
2000-04-25,1.0186935969058886,,,,,
2000-04-26,1.0071981091534175,,,,,
2000-04-27,1.0038676407391502,,,,,
2000-04-28,0.997636441770521,,,,,
2000-05-01,1.0111731843575429,,,,,
2000-05-02,0.9909755049419864,,,,,
2000-05-03,0.9677696605070917,,,,,
2000-05-04,0.9750752041254844,,,,,
2000-05-05,0.9868929952728844,,,,,
2000-05-08,0.9794800171895153,,,,,
2000-05-09,0.9716373012462406,,,,,
2000-05-10,0.9497206703910622,,,,,
2000-05-11,0.9714224323162878,,,,,
2000-05-12,0.9819510098839715,,,,,
2000-05-15,0.9989256553502371,,,,,
2000-05-16,1.0085947571981098,,,,,
2000-05-17,0.998066179630426,,,,,
2000-05-18,0.9858186506231204,,,,,
2000-05-19,0.9703480876665239,,,,,
2000-05-22,0.9630425440481312,,,,,
2000-05-23,0.9488611946712511,,,,,
2000-05-24,0.9643317576278475,,,,,
2000-05-25,0.9477868500214873,,,,,
2000-05-26,0.948861194671251,,,,,
2000-05-30,0.9798023205844438,,,,,
2000-05-31,0.9819510098839712,,,,,
2000-06-01,0.9991405242801895,,,,,
2000-06-02,1.0165449076063604,,,,,
2000-06-05,1.0116029222174476,,,,,
2000-06-06,1.0070906746884403,,,,,
2000-06-07,1.0140739149119038,,,,,
2000-06-08,1.0100988397077784,,,,,
2000-06-09,1.007950150408251,,,,,
2000-06-12,0.996132359260851,,,,,
2000-06-13,1.0148259561667383,,,,,
2000-06-14,1.0165449076063602,,,,,
2000-06-15,1.0186935969058875,,,,,
2000-06-16,1.007950150408251,,,,,
2000-06-19,1.0208422862054147,,,,,
2000-06-20,1.0171895143962184,,,,,
2000-06-21,1.016759776536313,,,,,
2000-06-22,1.0012892135797165,,,,,
2000-06-23,0.9926944563816074,,,,,1.0029795129448589
2000-06-26,1.0054791577137947,,,,,1.0034450196641604
2000-06-27,0.9980661796304257,,,,,0.9960894025793464
2000-06-28,1.000859475719811,,,,,0.9986033377677119
2000-06-29,0.991405242801891,,,,,0.9921787341215007
2000-06-30,0.9989256553502366,,,,,0.9923649936389749
2000-07-03,1.0126772668672113,,,,,0.9931098896344875
2000-07-05,0.9944134078212293,,,,,0.9944134221080388
2000-07-06,1.0021486892995275,,,,,0.9975791235331798
